Codigo Punto de Venta;Punto de Venta;Empresas;Latitud;Longitud;Canal;Zona;Distrito
34224;SEÑOR DE LOS MILAGROS;PERNOD RICARD PERU S.A.;-12.0547075;-77.0267076;TRADICIONAL;LIMA;LIMA
34225;SUMON BENAVIDES;PERNOD RICARD PERU S.A.;-12.1279007;-76.9890283;TRADICIONAL;LIMA;SANTIAGO DE SURCO
34226;MARKET S LA VINA SAC;PERNOD RICARD PERU S.A.;-12.1286108;-76.9931725;TRADICIONAL;LIMA;SANTIAGO DE SURCO
34227;EL GRACIOSO;PERNOD RICARD PERU S.A.;-12.1281985;-77.0000083;TRADICIONAL;LIMA;SANTIAGO DE SURCO
34228;JULIO AYACUCHO;PERNOD RICARD PERU S.A.;-12.1326533;-76.9954239;TRADICIONAL;LIMA;SANTIAGO DE SURCO
34229;TRADING COMPANY;PERNOD RICARD PERU S.A.;-12.0547157;-77.0264603;TRADICIONAL;LIMA;LIMA
34230;DISTRIBUIDORA ALEGRIA;PERNOD RICARD PERU S.A.;-12.1474495;-77.0111386;TRADICIONAL;LIMA;SANTIAGO DE SURCO
34231;MELVA ANDINA;PERNOD RICARD PERU S.A.;-12.146978;-77.0123614;TRADICIONAL;LIMA;SANTIAGO DE SURCO
34232;VIA VINUM;PERNOD RICARD PERU S.A.;-12.109756;-76.9742465;TRADICIONAL;LIMA;SANTIAGO DE SURCO
34233;POZITO 2 DE MAYO;PERNOD RICARD PERU S.A.;-12.0915629;-77.0391176;TRADICIONAL;LIMA;SAN ISIDRO
34234;YIOVANA;PERNOD RICARD PERU S.A.;-12.0993473;-77.0019156;TRADICIONAL;LIMA;SAN BORJA
34235;ZUÑIGA;PERNOD RICARD PERU S.A.;-12.034544;-77.043308;TRADICIONAL;LIMA;RIMAC
34236;POZITO SAN ISIDRO;PERNOD RICARD PERU S.A.;-12.1052943;-77.0396773;TRADICIONAL;LIMA;SAN ISIDRO
49920;CICALA Y CATITA;PERNOD RICARD PERU S.A.;-12.33266941;-76.82463341;TRADICIONAL;LIMA;PUNTA HERMOSA
49921;LICORERIA RIVAS;PERNOD RICARD PERU S.A.;-12.3163046;-76.8327588;TRADICIONAL;LIMA;PUNTA HERMOSA
49922;LA PLANICIE;PERNOD RICARD PERU S.A.;-12.3304169;-76.8291128;TRADICIONAL;LIMA;PUNTA HERMOSA
49923;BODEGA MENOS MENOS;PERNOD RICARD PERU S.A.;-12.3278927;-76.8249003;TRADICIONAL;LIMA;PUNTA HERMOSA
49924;OLA Y SUR MARKET;PERNOD RICARD PERU S.A.;-12.3284424;-76.8247982;TRADICIONAL;LIMA;PUNTA HERMOSA
51628;EL SUPER PIEROLA AREQUIPA;PERNOD RICARD PERU S.A.;-16.40107058;-71.53397802;TRADICIONAL;AREQUIPA;AREQUIPA
51632;FRANCO 24HORAS AREQUIPA;PERNOD RICARD PERU S.A.;-16.39786519;-71.54633756;TRADICIONAL;AREQUIPA;AREQUIPA
51633;FRANCO SUPERMERCADO AREQUIPA;PERNOD RICARD PERU S.A.;-16.39411799;-71.54306533;TRADICIONAL;AREQUIPA;AREQUIPA
51654;EL KORCHO BALTA;PERNOD RICARD PERU S.A.;-6.778393272;-79.8389339;TRADICIONAL;CHICLAYO;CHICLAYO
51655;LA CAVAN CHICLAYO;PERNOD RICARD PERU S.A.;-6.7806343;-79.8423832;TRADICIONAL;CHICLAYO;CHICLAYO
51656;LA TABERNA CHICLAYO;PERNOD RICARD PERU S.A.;-6.7587266;-79.8340791;TRADICIONAL;CHICLAYO;CHICLAYO
